제안등록명,건수,원본표기수,원본표기들,기관,담당자
엘에스에너지 ( 사업자명 변경되어 사업자등록증 회신받으면 변경 필요 ),1,1,엘에스에너지 ( 사업자명 변경되어 사업자등록증 회신받으면 변경 필요 ),소상공인시장진흥공단,관호
오이구컴퍼니\,1,1,오이구컴퍼니\,소상공인시장진흥공단,관호
요가람 잠수,1,1,요가람 잠수,소상공인시장진흥공단,관호
이안서가중고등,1,1,이안서가중고등,중소벤처기업진흥공단,
주)123에프앤비,1,1,주)123에프앤비,신용보증재단,유진
지원중기,1,1,지원중기,소상공인시장진흥공단,관호
지원중기 4월초 다시확인 (연체 8백),1,1,지원중기 4월초 다시확인 (연체 8백),소상공인시장진흥공단,관호
청용주유소( 동안주유소 내용동일),1,1,청용주유소( 동안주유소 내용동일),소상공인시장진흥공단,관호
쿡솜씨협동조합 / 교육 이수 후 접수 완료,1,1,쿡솜씨협동조합 / 교육 이수 후 접수 완료,소상공인시장진흥공단,
푸드닥터 채육식당 성수점,1,1,푸드닥터 채육식당 성수점,소상공인시장진흥공단,유진
cu수서나산점,1,1,cu수서나산점,신용보증재단,관호
