"원래이름(기관케이스)","→ 붙일_업체명(companies)","company_id","케이스수","적용규칙","기관목록","상태목록"
"(주)유건_법인","(주)유건","f65d64a8-5729-4662-9939-8bc124dbf089","2","법인표기+괄호메모+밑줄뒤","소상공인시장진흥공단","자금집행완료"
"(주)잔나비에프앤비","(주)잔나비에프앤비 ( 화정미트 )","91592092-cbd8-4219-9265-8d9334a356a2","2","법인표기+괄호메모","소상공인시장진흥공단 / 중소벤처기업진흥공단","시작 전 / 부결"
"(주)한산테크(본인이 직접신청)","(주)한산테크","e28b5594-1f4b-47ae-8dbc-682358413a45","2","법인표기+괄호메모","중소벤처기업진흥공단","부결"
"(주)휘율이에스티(체납건 처리해야함)","(주)휘율이에스티","f2676aa9-52fd-411f-9430-2a36a0b7acaf","2","법인표기+괄호메모","중소벤처기업진흥공단","보류"
"jb특수시스템","(유)JB특수시스템","b42a73f3-e921-4b90-b434-199fac5a898c","2","공백/기호","소상공인시장진흥공단","완료 / 부결"
"거산피앤피(주)","(주)거산피앤피","9c9d6866-97b1-4c67-aace-1d1c11615e03","2","법인표기+괄호메모","중소벤처기업진흥공단","부결"
"과천경희S한의원","과천경희S한의원 ( 진행전 피드백대기 )","25949223-de08-46fc-af10-1e93b8379cd7","2","공백/기호","소상공인시장진흥공단","상담/진단완료 / 자금집행완료"
"글라스히어로즈(인천점)","(주)글라스히어로즈","dc9d3675-6cf2-4672-9311-68aac62115b5","2","괄호메모","소상공인시장진흥공단","부결 / 시작 전"
"딜리온픽배달대행(혁신성장 스마트기술)","딜리온픽배달대행","309851b3-4402-41f0-b246-2eedd8e48e0d","2","괄호메모","소상공인시장진흥공단","시작 전 / 자금집행완료"
"미진축산(혁신성장 스마트기기)","미진축산","cee54ae5-807f-4d2f-9fc2-d43eacf807ee","2","괄호메모","소상공인시장진흥공단","시작 전 / 상담/진단완료"
"블루마린(주)","(주)블루마린","db820281-bb46-4a1e-9a77-4bcd82d074cc","2","법인표기+괄호메모","소상공인시장진흥공단","상담/진단완료"
"스마일 베이글 ( 법인 사업자 )","스마일 베이글","8f0a354c-f2e3-4281-813e-8ff8feffce29","2","괄호메모","중소벤처기업진흥공단","시작 전"
"스마일 베이글(혁신성장 스마트기기)","스마일 베이글","8f0a354c-f2e3-4281-813e-8ff8feffce29","2","괄호메모","소상공인시장진흥공단","시작 전 / 상담/진단완료"
"스마일베이글 ( 법인설립후 )","스마일 베이글","8f0a354c-f2e3-4281-813e-8ff8feffce29","2","괄호메모","중소벤처기업진흥공단","마감 진행 불가"
"엑스비씨 유한회사","엑스비씨 유한회사_법인","737b9aae-2d28-4985-addb-435cfcba4cc5","2","법인표기","소상공인시장진흥공단","부결"
"영진물류(대환대출 진행)","영진물류","707ba5d9-503f-4ea1-997d-bd113d0fe570","2","괄호메모","소상공인시장진흥공단","상담/진단완료"
"유일목형 ( 수출로 이후 안되면 저신용 )","유일목형","f75b4658-e77e-438e-aa67-361534014a9d","2","괄호메모","소상공인시장진흥공단","상담/진단완료"
"유일목형(시설자금 )","유일목형","f75b4658-e77e-438e-aa67-361534014a9d","2","괄호메모","중소벤처기업진흥공단","보류"
"의왕베이스볼아카데미(체납)","의왕베이스볼아카데미","3f9f719a-45f5-4179-ad51-eb56a132109f","2","괄호메모","소상공인시장진흥공단","시작 전 / 자금집행완료"
"인네이처(주)_유선안내(내년 3월부터 가능)","인네이처(주)","5cd68b6e-d9db-4e6c-9f6d-ad1b5dc4c2c8","2","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","부결"
"제로디톡스(재도전 70백만원이 있어 3월 신청 예정)","제로디톡스","aa30e69f-2150-466d-8b44-0e614648bdc6","2","괄호메모","소상공인시장진흥공단","상담/진단완료"
"주)큰수레협동조합","큰수레협동조합","13b0d7d8-4bab-4624-99b1-892b7d2356cf","2","법인표기","소상공인시장진흥공단","상담/진단완료"
"주식회사 신원","(주)신원","84d4776f-92e3-4cfc-9e9e-0ea2a9497109","2","법인표기","소상공인시장진흥공단","상담/진단완료"
"토탈아트코리아 ( 고용링크 있음 )","토탈아트 코리아","a0086c5d-3e78-426b-90fe-d46c633c979b","2","괄호메모","중소벤처기업진흥공단","부결"
"피코스산업(주)","(주)피코스산업","e78d9a91-45cd-48a3-aa92-53caa10578ae","2","법인표기+괄호메모","소상공인시장진흥공단","상담/진단완료"
"허브바이오앤테크","(주)허브바이오앤테크","e4811184-d945-4370-8c2a-4d059e47ef71","2","공백/기호","소상공인시장진흥공단","부결 / 완료"
"헤움 ( 5년에 3번이상 수혜(저신용포함)","헤움","d6a34947-af74-4d78-a48c-43f011e88989","2","괄호메모","소상공인시장진흥공단","자금집행완료"
"(유)누리관광_인증서 없음","(유)누리관광","544b3df5-9d98-4d5c-bfb9-fcade563a1fd","1","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","진행 중"
"(주)123푸드 (신청 보류)","(주)123푸드","2524b257-b8fe-400f-8a27-3d5c30a6f510","1","법인표기+괄호메모","중소벤처기업진흥공단","보류"
"(주)CBSC","(주)CBSC_법인","f1829cce-6556-4e68-9f97-d366c57706bf","1","법인표기+괄호메모","소상공인시장진흥공단","시작 전"
"(주)더푸른식품_(보내준다고하심)","(주)더푸른식품","64e1e2c0-bbca-4da2-9d90-5115823d32a2","1","법인표기+괄호메모+밑줄뒤","구조혁신&사업전환","시작 전"
"(주)리딩트러스트_1억","(주)리딩트러스트","7267f0ab-66cf-43b2-9a39-b2fd1dd5e9a8","1","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","완료"
"(주)백발명가(스마트기기 요건 확인안됨)","(주)백발명가","bec82add-6bea-4ab3-8094-c4c28a28f706","1","법인표기+괄호메모","소상공인시장진흥공단","시작 전"
"(주)베누스메드(최종제출 안내드림)","(주)베누스메드","43503326-195d-481e-b7a8-a07de5339035","1","법인표기+괄호메모","중소벤처기업진흥공단","부결"
"(주)썸업팜  ( 주소지 변경 후 신청 )","(주)썸업팜","3ab78074-9817-47bb-9c9d-dbfb3667779c","1","법인표기+괄호메모","신용보증기금","시작 전"
"(주)애슐런컴퍼니(최종제출 안내드림)","(주)애슐런컴퍼니","f6aa3a0b-6bf8-4743-99c0-47df4079d5cc","1","법인표기+괄호메모","중소벤처기업진흥공단","부결"
"(주)에스와이커뮤니티_공고링크 받아야함","(주)에스와이커뮤니티","33c2dce3-9ed4-465d-a0c8-7284a18ed80f","1","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","부결"
"(주)엘앤엘디_계정 아직 안주심","(주)엘앤엘디","00cb54d5-8fc3-425a-ab5f-f509bf2fc92a","1","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","보류"
"(주)예가비즈(최종제출 안내드림)","(주)예가비즈","e367e66a-ce7f-4330-8ce2-70170ceb1bd8","1","법인표기+괄호메모","중소벤처기업진흥공단","승인"
"(주)와이에스푸드","주식회사 와이에스푸드 ( 다미설 법인 )","b6f6a2e1-a8c5-4af3-a2dd-57f34dcf2fbe","1","법인표기+괄호메모","소상공인시장진흥공단","보류"
"(주)유건 / 교육 이수 후 접수 완료","(주)유건","f65d64a8-5729-4662-9939-8bc124dbf089","1","법인표기+괄호메모+구분자뒤","소상공인시장진흥공단","상담/진단완료"
"(주)유유코퍼레이션 (최종제출 안내드림)","(주)유유코퍼레이션","46d83261-260a-4d35-acf1-44ee348d939f","1","법인표기+괄호메모","중소벤처기업진흥공단","부결"
"(주)유유코퍼레이션(스마트기기 자료 재요청중)","(주)유유코퍼레이션","46d83261-260a-4d35-acf1-44ee348d939f","1","법인표기+괄호메모","소상공인시장진흥공단","시작 전"
"(주)이루미기획(혁신성장 스마트기기)","(주)이루미기획","bdf1a76c-fbe0-44d7-9116-a14effded240","1","법인표기+괄호메모","소상공인시장진흥공단","자금집행완료"
"(주)입체로_2억 5천","(주)입체로","f9299c50-222d-4f29-ae56-73b5a3936705","1","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","완료"
"(주)지제이건설","(주)지제이건설_목요일 최종제출 예정","76f8b6c5-86e6-4737-a03f-63afdcb029f7","1","법인표기+괄호메모","신용보증기금","부결"
"(주)태양로지스틱스(전진통운)","(주)태양로지스틱스","2ad9354c-b621-44b9-8e72-166cda36b37a","1","법인표기+괄호메모","소상공인시장진흥공단","시작 전"
"(주)텍코_유선_2억 5천","(주)텍코","c5bb441f-5897-474b-9f4c-89bc199962a2","1","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","완료"
"(주)포스트케어(혁신성장 수출실적)","(주)포스트케어","3e6d21e6-2024-4947-b612-96a2fd77219f","1","법인표기+괄호메모","소상공인시장진흥공단","자금집행완료"
"(주)피코스산업_계정 아직 안주심","(주)피코스산업","e78d9a91-45cd-48a3-aa92-53caa10578ae","1","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","보류"
"(주)해온푸드(재무자료 요청X)","(주)해온푸드","470c5739-263f-4de9-9909-136a1632d00e","1","법인표기+괄호메모","구조혁신&사업전환","시작 전"
"jb특수시스템(소진공 저신용)","(유)JB특수시스템","b42a73f3-e921-4b90-b434-199fac5a898c","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"감상커뮤니케이션 (부동산 가압류 5월 진행할것 5.6)","감상커뮤니케이션","f686e94b-0c10-4bf2-9952-f1d43e06cca4","1","괄호메모","소상공인시장진흥공단","시작 전"
"거산피앤피(주)_요건 넘어서 안됨","(주)거산피앤피","9c9d6866-97b1-4c67-aace-1d1c11615e03","1","법인표기+괄호메모+밑줄뒤","소상공인시장진흥공단","시작 전"
"공감중문  ( 수출 실적 1년 초과 )","공감중문  ","a96478db-06d3-4901-bd68-8e969e6029f6","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"공감중문 ( 연체내역 많음 )","공감중문  ","a96478db-06d3-4901-bd68-8e969e6029f6","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"구도로통닭(소진공 단기연체존재 )","구도로통닭","a63bd69b-d09c-41c8-b6bb-72b5dcff0fee","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"구도로통닭(혁신성장 스마트기기)","구도로통닭","a63bd69b-d09c-41c8-b6bb-72b5dcff0fee","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"그라티아(카누 조달청 조달 및 특허청 디자인등록)","그라티아","86a77f9b-6444-425a-a6cc-9a9f9faeb04c","1","괄호메모","중소벤처기업진흥공단","보류"
"기동정밀 / 폐업이력 없고, 졸업후보, 사회적경제기업 미해당","기동정밀","d4f6ff6d-f814-4ad6-9274-ccf84ff01481","1","구분자뒤","소상공인시장진흥공단","완료"
"까사피에스타 _테이블오더 ( 떨어지면 저신용 )","까사피에스타","d44263f5-0e21-413f-bb4c-1171c560bb5c","1","괄호메모+밑줄뒤","소상공인시장진흥공단","완료"
"까사피에스타 / 폐업이력 없음, 일시적경영애로 불가","까사피에스타","d44263f5-0e21-413f-bb4c-1171c560bb5c","1","구분자뒤","소상공인시장진흥공단","시작 전"
"넘버원택배(혁신성장)","넘버원택배","77706395-6c5c-4afc-b4ad-337598fd9928","1","괄호메모","소상공인시장진흥공단","부결"
"달성종합중기","달성종합중기(지원중기)","031f01e3-7f47-432b-88cb-8f4f425b1de1","1","공백/기호","신용보증재단","보류"
"대령숙수_잠수 ( 지혜비서님이 추가 진행 안내드림 )","대령숙수_잠수","77d0f04c-5854-4ddb-a1b1-56bd75eefd97","1","괄호메모+밑줄뒤","소상공인시장진흥공단","시작 전"
"대령숙수(잠수 ( 지혜비서님이 추가 진행 안내드림 ))","대령숙수_잠수","77d0f04c-5854-4ddb-a1b1-56bd75eefd97","1","괄호메모","소상공인시장진흥공단","시작 전"
"대령숙수(잠수)","대령숙수_잠수","77d0f04c-5854-4ddb-a1b1-56bd75eefd97","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"대박관(국세없음,지방세없음)","대박관","66b320a0-6d4c-450d-bd8a-e6696492d44a","1","괄호메모","소상공인시장진흥공단","시작 전"
"도담조경 ( 체납 (가압류 ) )","도담조경(산들바람)","f09c8fc6-9532-4594-9e5c-debbdd6176a3","1","괄호메모","소상공인시장진흥공단","자금집행완료"
"동선목장_잠수","동선목장","8590bd80-8de2-4982-837d-7f9f5057048a","1","밑줄뒤","소상공인시장진흥공단","시작 전"
"동진건설","동진건설_방치","001687b2-94e9-42d7-a77e-3fc6ee99b57b","1","공백/기호","소상공인시장진흥공단","시작 전"
"등짝_김양호","등짝","319b86e5-9c11-4124-8824-b9ccd3530928","1","밑줄뒤","소상공인시장진흥공단","상담/진단완료"
"리리즈(소진공 연체없음 )","리리즈","8728a300-e895-48a4-bc0e-9c387b8b40cc","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"리리즈(재도전 특별자금)","리리즈","8728a300-e895-48a4-bc0e-9c387b8b40cc","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"리즈코스( 5월말 뷰티론 신청 )","리즈코스","9b6b5a33-c02e-47b9-b291-ed66a3a8a66c","1","괄호메모","중소벤처기업진흥공단","시작 전"
"맥스틸우드(3/6지방세체납없음)","맥스틸우드","b4487d54-cd44-4c85-b98f-b2dfa83005fa","1","괄호메모","소상공인시장진흥공단","시작 전"
"맥스틸우드(포스기 계약후 계약서 징구 / 비즈모아)","맥스틸우드","b4487d54-cd44-4c85-b98f-b2dfa83005fa","1","괄호메모+구분자뒤","소상공인시장진흥공단","부결"
"명성태권도(혁신성장 스마트기기)","명성태권도","6384978b-8d31-43f1-ba4e-a3c6459640a5","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"물고기블루스(체납)","물고기블루스","af6484c6-54d4-4a3f-96bc-4a2f4b1b87ab","1","괄호메모","소상공인시장진흥공단","자금집행완료"
"미니 부띠끄","미니 부띠끄 (우선 필증, 증명원은 2월 15일이후)","9b9d0c00-61bb-49b9-b668-1fd86ffd82e3","1","공백/기호","소상공인시장진흥공단","부결"
"미니 부띠끄 ( 12월31일 기준 수출실적없음","미니 부띠끄 (우선 필증, 증명원은 2월 15일이후)","9b9d0c00-61bb-49b9-b668-1fd86ffd82e3","1","열린괄호뒤","소상공인시장진흥공단","상담/진단완료"
"미니 부띠끄 ( 우선 필증으로, 증명원은 2월 15일 이후 )","미니 부띠끄 (우선 필증, 증명원은 2월 15일이후)","9b9d0c00-61bb-49b9-b668-1fd86ffd82e3","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"미진축산(소진공 연체없음 )","미진축산","cee54ae5-807f-4d2f-9fc2-d43eacf807ee","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"미진축산(혁신성장 스마트기기)(월세2천1백 체납)","미진축산","cee54ae5-807f-4d2f-9fc2-d43eacf807ee","1","괄호메모","소상공인시장진흥공단","시작 전"
"보성무역(민용기컨설턴트)","보성무역 ( 법인 전환 예정 )","8c80213d-668d-4472-94a4-8cab6f588bd6","1","괄호메모","구조혁신&사업전환","시작 전"
"비티버거앤타코(희성디자인)","비티버거앤타코","aa702cfc-24ce-4473-931c-6c8398df0731","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"솜씨협동조합 ( 대기, 대표자와 근로자 수 소통중 )","(주)솜씨협동조합","6f528302-cc5e-46fb-913e-c848791af0c5","1","법인표기+괄호메모","소상공인시장진흥공단","시작 전"
"솜씨협동조합_공고링크 받아야함","(주)솜씨협동조합","6f528302-cc5e-46fb-913e-c848791af0c5","1","법인표기+밑줄뒤","중소벤처기업진흥공단","부결"
"솜씨협동조합_인증 부분만 유선","(주)솜씨협동조합","6f528302-cc5e-46fb-913e-c848791af0c5","1","법인표기+밑줄뒤","중소벤처기업진흥공단","부결"
"수목원파크 ( 지들이 하겠다고 통보 )","수목원파크","10fba667-ccc9-4535-927f-5fc1bb2193e9","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"스마일 베이글 ( 신규 이력없음 )","스마일 베이글","8f0a354c-f2e3-4281-813e-8ff8feffce29","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"신강( 전체자료 미회신 )","신강","f1a43c5e-b810-4a92-b350-89224ade2d50","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"신강(잠수)","신강","f1a43c5e-b810-4a92-b350-89224ade2d50","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"신재연","신재연(우디베이크 법인 사업자)","1825f711-1666-4177-9e71-7ace3e5b4ea0","1","공백/기호","중소벤처기업진흥공단","보류"
"썸업팜","(주)썸업팜","3ab78074-9817-47bb-9c9d-dbfb3667779c","1","공백/기호","소상공인시장진흥공단","시작 전"
"아이디어스푼 /","아이디어스푼","1585a5ba-c827-478d-8e3c-b4025f5881df","1","구분자뒤","소상공인시장진흥공단","부결"
"안다미로","안다미로(교육수료는 14일에 처리되어 상세페이지 반영필요 )","6aa38c19-1ddb-4332-aec4-b1633f1581cf","1","공백/기호","소상공인시장진흥공단","완료"
"어나더유스_잠수","어나더유스","5fee8cc4-68a6-45d5-a75b-c45b1ef187f0","1","밑줄뒤","소상공인시장진흥공단","시작 전"
"어나더유스( 소진공 연체없음 )","어나더유스","5fee8cc4-68a6-45d5-a75b-c45b1ef187f0","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"어나더유스(2/27지방세/국세 체납없음
)","어나더유스","5fee8cc4-68a6-45d5-a75b-c45b1ef187f0","1","괄호메모","소상공인시장진흥공단","시작 전"
"어나더유스(2/27지방세/국세 체납없음 )","어나더유스","5fee8cc4-68a6-45d5-a75b-c45b1ef187f0","1","괄호메모","소상공인시장진흥공단","시작 전"
"어나더유스(혁신성장 수출실적)","어나더유스","5fee8cc4-68a6-45d5-a75b-c45b1ef187f0","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"어장관리(국세 없음","어장관리","d3c63ebb-f25a-4115-8c7a-5b861361bc0b","1","열린괄호뒤","소상공인시장진흥공단","시작 전"
"에스에프헤어 _스마트모델 기술보급 ( 스마트미러, 키오스크 )","에스에프헤어","454bfa7c-c452-430a-90bc-04c198b30f23","1","괄호메모+밑줄뒤","소상공인시장진흥공단","완료"
"에스에프헤어 (재도전 임대사업자 및 업력때문에 안됌)","에스에프헤어","454bfa7c-c452-430a-90bc-04c198b30f23","1","괄호메모","소상공인시장진흥공단","시작 전"
"에스에프헤어(혁신성장 스마트기기)","에스에프헤어","454bfa7c-c452-430a-90bc-04c198b30f23","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"엘포테크_추가 기대출은 부담된다고 하여 중단","엘포테크","45fbc2ee-84ee-4d06-84a3-98fc6e3d1e52","1","밑줄뒤","소상공인시장진흥공단","시작 전"
"엠앤디코리아","엠앤디코리아_잠수","353c67a6-a84c-4f4e-a6ca-e3883a58102c","1","공백/기호","소상공인시장진흥공단","상담/진단완료"
"오이구컴퍼니 ( 신규 이력없음 )","오이구컴퍼니","94f93d80-e937-4c7b-9664-09ed56fff49e","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"오이구컴퍼니 ( 정책자금보다 정부지원금 요구ㅠ )","오이구컴퍼니","94f93d80-e937-4c7b-9664-09ed56fff49e","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"오이구컴퍼니(3/5국세체납없음,과태료3건 체납, 1건 미납)","오이구컴퍼니","94f93d80-e937-4c7b-9664-09ed56fff49e","1","괄호메모","소상공인시장진흥공단","시작 전"
"오이구컴퍼니\","오이구컴퍼니","94f93d80-e937-4c7b-9664-09ed56fff49e","1","공백/기호","소상공인시장진흥공단","시작 전"
"오케이포케 ( 신규 이력없음 )","오케이포케","22a948aa-b9f3-4e06-b71c-f6bfd98c8a58","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"오케이포케(혁신성장 스마트기기)(체납)","오케이포케","22a948aa-b9f3-4e06-b71c-f6bfd98c8a58","1","괄호메모","소상공인시장진흥공단","자금집행완료"
"위드컴퍼니(주)","(주)위드컴퍼니","2bcd6701-d647-4b70-ab1b-6ed398fb097b","1","법인표기+괄호메모","소상공인시장진흥공단","시작 전"
"유성기계_사이드보기 별첨","유성기계","e197c5a0-6dc3-47c3-b375-98641b226c5d","1","밑줄뒤","소상공인시장진흥공단","시작 전"
"응암식당(3/5국세체납없음,지방세미납-신청후안내할예정)","응암식당","b30a3397-4179-4daa-a8af-17b06f9664fa","1","괄호메모","소상공인시장진흥공단","시작 전"
"의왕베이스볼아카데미(체납)_비협조","의왕베이스볼아카데미","3f9f719a-45f5-4179-ad51-eb56a132109f","1","괄호메모+밑줄뒤","소상공인시장진흥공단","시작 전"
"이엔에프에너지(재도전특별자금)","이엔에프에너지","45fea9f9-2b3b-4400-9453-443ea67d8502","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"제로디톡스(소진공 저신용)","제로디톡스","aa30e69f-2150-466d-8b44-0e614648bdc6","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"제천한약영농조합법인","(주)제천한약영농조합법인","bfd05fda-d0de-4810-95f9-4d2c165d510d","1","공백/기호","중소벤처기업진흥공단","부결"
"주)cbsc / 교육 이수 후 접수 완료","(주)CBSC_법인","f1829cce-6556-4e68-9f97-d366c57706bf","1","법인표기+구분자뒤","소상공인시장진흥공단","상담/진단완료"
"주식회사 와이에스푸드 ( 다미설 법인 )_1억조달완료","주식회사 와이에스푸드 ( 다미설 법인 )","b6f6a2e1-a8c5-4af3-a2dd-57f34dcf2fbe","1","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","완료"
"찡어맨 ( 재도전 상환연장은 다음달에 진횅 )","찡어맨","68305480-3eca-4b65-8375-1d3a6a7da953","1","괄호메모","소상공인시장진흥공단","상담/진단완료"
"찡어맨(지방세 체납 )","찡어맨","68305480-3eca-4b65-8375-1d3a6a7da953","1","괄호메모","소상공인시장진흥공단","자금집행완료"
"천하종합상사 / 교육 이수 후 접수 완료","천하종합상사","c9a62bbe-ed4e-4962-976c-6e326f59be66","1","구분자뒤","소상공인시장진흥공단","시작 전"
"천하종합상사(체납)","천하종합상사","c9a62bbe-ed4e-4962-976c-6e326f59be66","1","괄호메모","소상공인시장진흥공단","자금집행완료"
"청풍발리호텔(키오스크 계약서 요청, 설치후 철수 인정서밖에 없음)","청풍발리호텔","56d78b67-d6a1-4160-a50c-4b7d0168aee1","1","괄호메모","소상공인시장진흥공단","부결"
"츄맥 ( 오픈초기 정신없어서 잠수 )","츄맥","d98f1f34-214c-485a-a6be-3a8d0c5d4bdd","1","괄호메모","소상공인시장진흥공단","시작 전"
"츄맥 ( 잠수 )","츄맥","d98f1f34-214c-485a-a6be-3a8d0c5d4bdd","1","괄호메모","소상공인시장진흥공단","시작 전"
"티와이3133","티와이3133(엘에스에너지)","f657cf8c-72bb-459e-ae07-84ed41c659c1","1","공백/기호","신용보증재단","부결"
"파이브투_재단 부결 및 저신용 3천 받으심 비협조로 방치중","파이브투","debe5159-5447-4b00-88cc-9a1f191371c4","1","밑줄뒤","소상공인시장진흥공단","시작 전"
"풍짬 (2월 스마트 기기)","풍짬","18ff6884-d074-489f-84c0-4e630b0ca64b","1","괄호메모","소상공인시장진흥공단","자금집행완료"
"풍짬(3/5국세지방세 체납없음)","풍짬","18ff6884-d074-489f-84c0-4e630b0ca64b","1","괄호메모","소상공인시장진흥공단","시작 전"
"피치플레이_AI 스마트 자판기, S/W","피치플레이","cfeeeaad-ddec-4745-b15f-5c19d31c37a5","1","밑줄뒤","소상공인시장진흥공단","부결"
