버킷,원본표기(agency_cases.business_name),건수,제안조치,제안값(연결대상 또는 신규등록업체명),비고
3_신규등록,다경바이오 /  교육 이수 후 접수 완료,2,companies 신규등록 후 연결,다경바이오,동일업체 표기 3종
3_신규등록,다경바이오 / 교육 이수 후 접수 완료,1,companies 신규등록 후 연결,다경바이오,동일업체 표기 3종
3_신규등록,도담조경 ( 체납 (가압류 ) ),1,companies 신규등록 후 연결,도담조경,
3_신규등록,동진건설,1,companies 신규등록 후 연결,동진건설,
3_신규등록,딜리온픽,1,companies 신규등록 후 연결,딜리온픽,
3_신규등록,로컬 ( 폐업관련 자료 홈택스 신청1.14 11시04분 ),1,companies 신규등록 후 연결,로컬,
3_신규등록,막퍼줘 회찜 ( 준푸드 대표님 개인 사업자 ),3,companies 신규등록 후 연결,막퍼줘 회찜,동일업체 표기 2종
3_신규등록,막퍼줘 회찜,1,companies 신규등록 후 연결,막퍼줘 회찜,동일업체 표기 2종
3_신규등록,명인설렁탕송도센트럴지점/환불 예정,1,companies 신규등록 후 연결,명인설렁탕송도센트럴지점,
3_신규등록,미니 부띠끄,1,companies 신규등록 후 연결,미니 부띠끄,동일업체 표기 3종
3_신규등록,미니 부띠끄 ( 12월31일 기준 수출실적없음,1,companies 신규등록 후 연결,미니 부띠끄,동일업체 표기 3종
3_신규등록,"미니 부띠끄 ( 우선 필증으로, 증명원은 2월 15일 이후 )",1,companies 신규등록 후 연결,미니 부띠끄,동일업체 표기 3종
3_신규등록,미드나잇,1,companies 신규등록 후 연결,미드나잇,
3_신규등록,백발명가 법인 카페,1,companies 신규등록 후 연결,백발명가 법인 카페,
3_신규등록,보그헤어,2,companies 신규등록 후 연결,보그헤어,
3_신규등록,보성무역(민용기컨설턴트),1,companies 신규등록 후 연결,보성무역,
3_신규등록,부에노63,1,companies 신규등록 후 연결,부에노63,
3_신규등록,샤인디앤피 (장애인기업확인서 있음),1,companies 신규등록 후 연결,샤인디앤피,동일업체 표기 2종
3_신규등록,샤인디앤피,1,companies 신규등록 후 연결,샤인디앤피,동일업체 표기 2종
3_신규등록,"성원상사 ( 3월3일 신청, 3월19일 상환일/  4월 신청가능 )",1,companies 신규등록 후 연결,성원상사,동일업체 표기 2종
3_신규등록,성원상사,1,companies 신규등록 후 연결,성원상사,동일업체 표기 2종
3_신규등록,세븐일레븐,2,companies 신규등록 후 연결,세븐일레븐,
3_신규등록,세인트복싱매출신장 보류 스마트기기 2/2 재도전,1,companies 신규등록 후 연결,세인트복싱매출신장 보류 스마트기기 2,
3_신규등록,스투디오오도씨,1,companies 신규등록 후 연결,스투디오오도씨,동일업체 표기 3종
3_신규등록,스투디오오도씨(혁신성장 스마트기기),1,companies 신규등록 후 연결,스투디오오도씨,동일업체 표기 3종
3_신규등록,스투디오오도씨 ( 채무조정 29이상 불가 ),1,companies 신규등록 후 연결,스투디오오도씨,동일업체 표기 3종
3_신규등록,신산축산,2,companies 신규등록 후 연결,신산축산,동일업체 표기 2종
3_신규등록,신산축산 ( 개인사업자 ),1,companies 신규등록 후 연결,신산축산,동일업체 표기 2종
3_신규등록,신산축산유통,1,companies 신규등록 후 연결,신산축산유통,동일업체 표기 2종
3_신규등록,신산축산유통 ,1,companies 신규등록 후 연결,신산축산유통,동일업체 표기 2종
3_신규등록,씨에이치-디,1,companies 신규등록 후 연결,씨에이치-디,
3_신규등록,씨유 수서나선점,1,companies 신규등록 후 연결,씨유 수서나선점,
3_신규등록,안다미로,1,companies 신규등록 후 연결,안다미로,
3_신규등록,양돼산맥(현금서비스 과다로 거절),2,companies 신규등록 후 연결,양돼산맥,동일업체 표기 2종
3_신규등록,양돼산맥,1,companies 신규등록 후 연결,양돼산맥,동일업체 표기 2종
3_신규등록,"어반트랜드(온라인예약관리, 매장멤버십관리시스템)",1,companies 신규등록 후 연결,어반트랜드,
3_신규등록,에이치제이에프1(주),1,companies 신규등록 후 연결,에이치제이에프1,
3_신규등록,엑스비씨 유한회사,2,companies 신규등록 후 연결,엑스비씨 유한회사,
3_신규등록,엘에스에너지 ( 사업자명 변경되어 사업자등록증 회신받으면 변경 필요 ),1,companies 신규등록 후 연결,엘에스에너지,
3_신규등록,엠앤디코리아,1,companies 신규등록 후 연결,엠앤디코리아,
3_신규등록,오투에코,1,companies 신규등록 후 연결,오투에코,동일업체 표기 3종
3_신규등록,오투에코(임영군),1,companies 신규등록 후 연결,오투에코,동일업체 표기 3종
3_신규등록,오투에코(임영군) 공고 나오면 요청예정,1,companies 신규등록 후 연결,오투에코,동일업체 표기 3종
3_신규등록,옥림( 26.1직전 월 부터3일이내 단기연체 존재 ),1,companies 신규등록 후 연결,옥림,동일업체 표기 2종
3_신규등록,옥림,1,companies 신규등록 후 연결,옥림,동일업체 표기 2종
3_신규등록,요가람,1,companies 신규등록 후 연결,요가람,동일업체 표기 2종
3_신규등록,요가람(인증서만료8월18일)(잠수),1,companies 신규등록 후 연결,요가람,동일업체 표기 2종
3_신규등록,요가람 잠수,1,companies 신규등록 후 연결,요가람 잠수,
3_신규등록,우디베이크샵,2,companies 신규등록 후 연결,우디베이크샵,
3_신규등록,4/20 유일목형 N844( 신용점수 초과로 신청못함 ),1,companies 신규등록 후 연결,유일목형 N844,동일업체 표기 2종
3_신규등록,유일목형 N844(수출로 안되면 저신용)(3/5국세/지방세체납없음),1,companies 신규등록 후 연결,유일목형 N844,동일업체 표기 2종
3_신규등록,이안서가중고등 ( 법인 사업자 ),1,companies 신규등록 후 연결,이안서가중고등,
3_신규등록,제천한약농업회사법인(주),1,companies 신규등록 후 연결,제천한약농업회사법인,
3_신규등록,제천한약영농조합,1,companies 신규등록 후 연결,제천한약영농조합,
3_신규등록,주)나무,3,companies 신규등록 후 연결,주)나무,
3_신규등록,주)cbsc / 교육 이수 후 접수 완료,1,companies 신규등록 후 연결,주)cbsc,
3_신규등록,지원중기 4월초 다시확인 (연체 8백),1,companies 신규등록 후 연결,지원중기 4월초 다시확인,
3_신규등록,지환2태양광발전소(올타임커피),1,companies 신규등록 후 연결,지환2태양광발전소,동일업체 표기 2종
3_신규등록,지환2태양광발전소(올타임커피)(3/5국세지방세체납없음),1,companies 신규등록 후 연결,지환2태양광발전소,동일업체 표기 2종
3_신규등록,청하((주)청화정보기술),1,companies 신규등록 후 연결,청하,
3_신규등록,칼라스토리,1,companies 신규등록 후 연결,칼라스토리,
3_신규등록,쿡솜씨협동조합 / 교육 이수 후 접수 완료,1,companies 신규등록 후 연결,쿡솜씨협동조합,
3_신규등록,타와이3133 (엘에스에너지),1,companies 신규등록 후 연결,타와이3133,동일업체 표기 2종
3_신규등록,타와이3133,1,companies 신규등록 후 연결,타와이3133,동일업체 표기 2종
3_신규등록,프로페나인어클락,1,companies 신규등록 후 연결,프로페나인어클락,
3_신규등록,cu진부라헬점,1,companies 신규등록 후 연결,cu진부라헬점,동일업체 표기 2종
3_신규등록,4/21 cu진부라헬점,1,companies 신규등록 후 연결,cu진부라헬점,동일업체 표기 2종
3_신규등록,GS25뉴소사벌타운점_서동일,1,companies 신규등록 후 연결,GS25뉴소사벌타운점,동일업체 표기 2종
3_신규등록,GS25뉴소사벌타운점,2,companies 신규등록 후 연결,GS25뉴소사벌타운점,동일업체 표기 2종
