"업체명","기관케이스수","기관목록","상태목록","추정원인"
"주)나무","3","소상공인시장진흥공단","상담/진단완료","법인 표기 차이((주)/주)…)"
"타이어프로 -","3","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"토탈아트","3","신용보증재단","자금집행완료","기업목록에 없음/표기불일치"
"허브바이오앤테크(주)","3","소상공인시장진흥공단","상담/진단완료 / 자금집행완료","법인 표기 차이((주)/주)…)"
"(주)글라스히어로즈_유선","2","중소벤처기업진흥공단","부결 / 완료","밑줄(_) 메모"
"(주)더스티치 (체납처리 확인 )","2","소상공인시장진흥공단","완료 / 시작 전","법인 표기 차이((주)/주)…)"
"(주)보원유통_유선","2","중소벤처기업진흥공단","부결","밑줄(_) 메모"
"(주)에이엔알 _유선","2","중소벤처기업진흥공단","승인","밑줄(_) 메모"
"(주)에이치제이에프1 _법인","2","소상공인시장진흥공단","자금집행완료","법인/개인 접미사"
"(주)에이치제이에프1(본인이 직접신청)","2","중소벤처기업진흥공단","부결","법인 표기 차이((주)/주)…)"
"(주)엘케이네스트코리아(유선안내)","2","중소벤처기업진흥공단","부결","법인 표기 차이((주)/주)…)"
"(주)엠디케이컴퍼니 (유선안내)","2","중소벤처기업진흥공단","약정","법인 표기 차이((주)/주)…)"
"(주)웰딧_인증서 없음","2","중소벤처기업진흥공단","시작 전 / 부결","밑줄(_) 메모"
"(주)유건_법인","2","소상공인시장진흥공단","자금집행완료","법인/개인 접미사"
"(주)잔나비에프앤비","2","소상공인시장진흥공단 / 중소벤처기업진흥공단","시작 전 / 부결","법인 표기 차이((주)/주)…)"
"(주)준푸드","2","중소벤처기업진흥공단","보류","법인 표기 차이((주)/주)…)"
"(주)포스트케이(사업장 이전 및 수출실적증명원 이후 진행)","2","소상공인시장진흥공단","상담/진단완료","법인 표기 차이((주)/주)…)"
"(주)푸드닥터","2","소상공인시장진흥공단 / 구조혁신&사업전환","승인 / 시작 전","법인 표기 차이((주)/주)…)"
"(주)한산테크(본인이 직접신청)","2","중소벤처기업진흥공단","부결","법인 표기 차이((주)/주)…)"
"(주)휘율이에스티(체납건 처리해야함)","2","중소벤처기업진흥공단","보류","법인 표기 차이((주)/주)…)"
"cu진부라헬점","2","신용보증재단 / 소상공인시장진흥공단","보류 / 시작 전","기업목록에 없음/표기불일치"
"F2MG글로벌뷰티아카데미","2","중소벤처기업진흥공단","보류","기업목록에 없음/표기불일치"
"GS25뉴소사벌타운점","2","소상공인시장진흥공단","상담/진단완료 / 시작 전","기업목록에 없음/표기불일치"
"jb특수시스템","2","소상공인시장진흥공단","완료 / 부결","기업목록에 없음/표기불일치"
"거산피앤피(주)","2","중소벤처기업진흥공단","부결","법인 표기 차이((주)/주)…)"
"과천경희S한의원","2","소상공인시장진흥공단","상담/진단완료 / 자금집행완료","기업목록에 없음/표기불일치"
"글라스히어로즈(인천점)","2","소상공인시장진흥공단","부결 / 시작 전","기업목록에 없음/표기불일치"
"다경바이오 /  교육 이수 후 접수 완료","2","소상공인시장진흥공단","상담/진단완료","구분자(- /) 뒤 메모"
"도원반점수원영통점","2","소상공인시장진흥공단 / 신용보증재단","시작 전 / 자금집행완료","기업목록에 없음/표기불일치"
"딜리온픽배달대행(혁신성장 스마트기술)","2","소상공인시장진흥공단","시작 전 / 자금집행완료","기업목록에 없음/표기불일치"
"리썸제이","2","중소벤처기업진흥공단","중단","기업목록에 없음/표기불일치"
"미진축산(혁신성장 스마트기기)","2","소상공인시장진흥공단","시작 전 / 상담/진단완료","기업목록에 없음/표기불일치"
"블루마린(주)","2","소상공인시장진흥공단","상담/진단완료","법인 표기 차이((주)/주)…)"
"세븐일레븐","2","소상공인시장진흥공단","부결 / 시작 전","기업목록에 없음/표기불일치"
"세인트복싱_얼굴인식시스템","2","소상공인시장진흥공단","시작 전 / 부결","밑줄(_) 메모"
"스마일 베이글 ( 법인 사업자 )","2","중소벤처기업진흥공단","시작 전","기업목록에 없음/표기불일치"
"스마일 베이글(혁신성장 스마트기기)","2","소상공인시장진흥공단","시작 전 / 상담/진단완료","기업목록에 없음/표기불일치"
"스마일베이글 ( 법인설립후 )","2","중소벤처기업진흥공단","마감 진행 불가","기업목록에 없음/표기불일치"
"씨유 수서나선점","2","신용보증재단","자금집행완료 / 부결","기업목록에 없음/표기불일치"
"양돼산맥(현금서비스 과다로 거절)","2","소상공인시장진흥공단","자금집행완료","이름에 메모 섞임"
"엑스비씨 유한회사","2","소상공인시장진흥공단","부결","법인 표기 차이((주)/주)…)"
"영진물류(대환대출 진행)","2","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"우디베이크샵","2","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"유일목형 ( 수출로 이후 안되면 저신용 )","2","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"유일목형(시설자금 )","2","중소벤처기업진흥공단","보류","기업목록에 없음/표기불일치"
"의왕베이스볼아카데미(체납)","2","소상공인시장진흥공단","시작 전 / 자금집행완료","기업목록에 없음/표기불일치"
"인네이처(주)_유선안내(내년 3월부터 가능)","2","중소벤처기업진흥공단","부결","이름에 메모 섞임"
"제로디톡스(재도전 70백만원이 있어 3월 신청 예정)","2","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"제천한약농업회사법인(주)","2","중소벤처기업진흥공단","시작 전 / 부결","법인 표기 차이((주)/주)…)"
"제천한약영농조합","2","소상공인시장진흥공단 / 신용보증재단","시작 전 / 온라인 신청 후 대기","기업목록에 없음/표기불일치"
"주)큰수레협동조합","2","소상공인시장진흥공단","상담/진단완료","법인 표기 차이((주)/주)…)"
"주식회사 신원","2","소상공인시장진흥공단","상담/진단완료","법인 표기 차이((주)/주)…)"
"준푸드","2","중소벤처기업진흥공단","부결","기업목록에 없음/표기불일치"
"지환2태양광발전소(올타임커피)","2","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"청하((주)청화정보기술)","2","소상공인시장진흥공단","시작 전 / 진행불가","법인 표기 차이((주)/주)…)"
"칼라스토리","2","소상공인시장진흥공단","보류 / 시작 전","기업목록에 없음/표기불일치"
"토탈아트코리아 ( 고용링크 있음 )","2","중소벤처기업진흥공단","부결","기업목록에 없음/표기불일치"
"피코스산업(주)","2","소상공인시장진흥공단","상담/진단완료","법인 표기 차이((주)/주)…)"
"허브바이오앤테크","2","소상공인시장진흥공단","부결 / 완료","기업목록에 없음/표기불일치"
"헤움 ( 5년에 3번이상 수혜(저신용포함)","2","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"123","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"234","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"345","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"(유)누리관광_인증서 없음","1","중소벤처기업진흥공단","진행 중","밑줄(_) 메모"
"(주)123에프앤비","1","신용보증재단","자금집행완료","법인 표기 차이((주)/주)…)"
"(주)123에프앤비(스마트기기 자료 재요청중)","1","소상공인시장진흥공단","반려","법인 표기 차이((주)/주)…)"
"(주)123푸드 (신청 보류)","1","중소벤처기업진흥공단","보류","법인 표기 차이((주)/주)…)"
"(주)CBSC","1","소상공인시장진흥공단","시작 전","법인 표기 차이((주)/주)…)"
"(주)길온물류(동안주유소)_내용동일","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"(주)더푸른식품_(보내준다고하심)","1","구조혁신&사업전환","시작 전","밑줄(_) 메모"
"(주)리딩트러스트_1억","1","중소벤처기업진흥공단","완료","밑줄(_) 메모"
"(주)백발명가(스마트기기 요건 확인안됨)","1","소상공인시장진흥공단","시작 전","법인 표기 차이((주)/주)…)"
"(주)베누스메드(최종제출 안내드림)","1","중소벤처기업진흥공단","부결","법인 표기 차이((주)/주)…)"
"(주)솔스킨 ( 보성무역 대표님 법인 사업장","1","소상공인시장진흥공단","보류","법인 표기 차이((주)/주)…)"
"(주)썸업팜  ( 주소지 변경 후 신청 )","1","신용보증기금","시작 전","법인 표기 차이((주)/주)…)"
"(주)애슐런컴퍼니(최종제출 안내드림)","1","중소벤처기업진흥공단","부결","법인 표기 차이((주)/주)…)"
"(주)에스와이커뮤니티_공고링크 받아야함","1","중소벤처기업진흥공단","부결","밑줄(_) 메모"
"(주)엘앤엘디_계정 아직 안주심","1","중소벤처기업진흥공단","보류","밑줄(_) 메모"
"(주)예가비즈(최종제출 안내드림)","1","중소벤처기업진흥공단","승인","법인 표기 차이((주)/주)…)"
"(주)와이에스푸드","1","소상공인시장진흥공단","보류","법인 표기 차이((주)/주)…)"
"(주)우정","1","신용보증기금","시작 전","법인 표기 차이((주)/주)…)"
"(주)우정에프엔비","1","구조혁신&사업전환","시작 전","법인 표기 차이((주)/주)…)"
"(주)유건 / 교육 이수 후 접수 완료","1","소상공인시장진흥공단","상담/진단완료","구분자(- /) 뒤 메모"
"(주)유유코퍼레이션 (최종제출 안내드림)","1","중소벤처기업진흥공단","부결","법인 표기 차이((주)/주)…)"
"(주)유유코퍼레이션(스마트기기 자료 재요청중)","1","소상공인시장진흥공단","시작 전","법인 표기 차이((주)/주)…)"
"(주)이루미기획(혁신성장 스마트기기)","1","소상공인시장진흥공단","자금집행완료","법인 표기 차이((주)/주)…)"
"(주)입체로_2억 5천","1","중소벤처기업진흥공단","완료","밑줄(_) 메모"
"(주)준푸드__인증 부분만 유선","1","중소벤처기업진흥공단","부결","밑줄(_) 메모"
"(주)지제이건설","1","신용보증기금","부결","법인 표기 차이((주)/주)…)"
"(주)태양로지스틱스(전진통운)","1","소상공인시장진흥공단","시작 전","법인 표기 차이((주)/주)…)"
"(주)텍코_유선_2억 5천","1","중소벤처기업진흥공단","완료","밑줄(_) 메모"
"(주)티케이이앤엠","1","신용보증재단","자금집행완료","법인 표기 차이((주)/주)…)"
"(주)포스트케어(혁신성장 수출실적)","1","소상공인시장진흥공단","자금집행완료","법인 표기 차이((주)/주)…)"
"(주)플러스제주","1","구조혁신&사업전환","시작 전","법인 표기 차이((주)/주)…)"
"(주)피코스산업_계정 아직 안주심","1","중소벤처기업진흥공단","보류","밑줄(_) 메모"
"(주)해온푸드(재무자료 요청X)","1","구조혁신&사업전환","시작 전","법인 표기 차이((주)/주)…)"
"04/21 (주)엠씨리컴퍼니_강의이수","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"04/21 (주)이루미기획_강의이수","1","소상공인시장진흥공단","부결","밑줄(_) 메모"
"4/20 뚱이농산","1","소상공인시장진흥공단","부결","구분자(- /) 뒤 메모"
"4/20 신강 ( 진행전 유선확인→2.20 통화됌 잘받아주신다고함)","1","소상공인시장진흥공단","보류","구분자(- /) 뒤 메모"
"4/20 유일목형 N844( 신용점수 초과로 신청못함 )","1","소상공인시장진흥공단","부결","구분자(- /) 뒤 메모"
"4/21 cu진부라헬점","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"4/21 응암식당","1","소상공인시장진흥공단","부결","구분자(- /) 뒤 메모"
"4/21 진수네간장게장( 체납으로 부결되면 )","1","소상공인시장진흥공단","부결","구분자(- /) 뒤 메모"
"4/21 프라이빗","1","소상공인시장진흥공단","부결","구분자(- /) 뒤 메모"
"4/21 하은운송","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"4/21지원중기","1","소상공인시장진흥공단","부결","구분자(- /) 뒤 메모"
"cjh687768+","1","구조혁신&사업전환","시작 전","기업목록에 없음/표기불일치"
"cu수서나산점","1","신용보증재단","완료","기업목록에 없음/표기불일치"
"GS25뉴소사벌타운점_서동일","1","소상공인시장진흥공단","상담/진단완료","밑줄(_) 메모"
"jb특수시스템(소진공 저신용)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"가마치통닭지행점(2.27국세체납없음) / 폐업이력 없음 저신용 25.4 3천","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"가마치통닭지행점/ 폐업이력 없음 저신용 25.4 3천","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"감상커뮤니케이션 (부동산 가압류 5월 진행할것 5.6)","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"거산피앤피(주)_요건 넘어서 안됨","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"골드스카이 ( 카드연체중 단기연체정보등록됌 )","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"골드스카이_단기연체 등록 ( 회복 어렵다고함 )","1","소상공인시장진흥공단","상담/진단완료","밑줄(_) 메모"
"공감중문  ( 수출 실적 1년 초과 )","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"공감중문 ( 연체내역 많음 )","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"구도로통닭 부채비율700% 초과","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"구도로통닭 부채비율700% 초과_비협조","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"구도로통닭 부채비율700% 초과(3/5국세/지방세 체납없음","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"구도로통닭(소진공 단기연체존재 )","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"구도로통닭(혁신성장 스마트기기)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"그라티아(카누 조달청 조달 및 특허청 디자인등록)","1","중소벤처기업진흥공단","보류","기업목록에 없음/표기불일치"
"기동정밀 / 폐업이력 없고, 졸업후보, 사회적경제기업 미해당","1","소상공인시장진흥공단","완료","구분자(- /) 뒤 메모"
"까사피에스타 _테이블오더 ( 떨어지면 저신용 )","1","소상공인시장진흥공단","완료","밑줄(_) 메모"
"까사피에스타 / 폐업이력 없음, 일시적경영애로 불가","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"넘버원택배(혁신성장)","1","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"다경바이오 / 교육 이수 후 접수 완료","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"달성종합중기","1","신용보증재단","보류","기업목록에 없음/표기불일치"
"대령숙수_잠수 ( 지혜비서님이 추가 진행 안내드림 )","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"대령숙수(잠수 ( 지혜비서님이 추가 진행 안내드림 ))","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"대령숙수(잠수)","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"대박관(국세없음,지방세없음)","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"도담조경 ( 체납 (가압류 ) )","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"도원반점수원영통점_2025년 가결산 대기중","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"동선목장_잠수","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"동안주유소","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"동진건설","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"등짝_김양호","1","소상공인시장진흥공단","상담/진단완료","밑줄(_) 메모"
"로컬 ( 폐업관련 자료 홈택스 신청1.14 11시04분 )","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"리리즈(소진공 연체없음 )","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"리리즈(재도전 특별자금)","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"리즈코스( 5월말 뷰티론 신청 )","1","중소벤처기업진흥공단","시작 전","기업목록에 없음/표기불일치"
"맥스틸우드(3/6지방세체납없음)","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"맥스틸우드(포스기 계약후 계약서 징구 / 비즈모아)","1","소상공인시장진흥공단","부결","구분자(- /) 뒤 메모"
"명성태권도(2/27지방세/국세체납없음)/ 재도전 업력초과","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"명성태권도(혁신성장 스마트기기)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"명인설렁탕송도센트럴지점","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"명인설렁탕송도센트럴지점/환불 예정","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"물고기블루스(체납)","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"미니 부띠끄","1","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"미니 부띠끄 ( 12월31일 기준 수출실적없음","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"미니 부띠끄 ( 우선 필증으로, 증명원은 2월 15일 이후 )","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"미드나잇","1","기타","시작 전","기업목록에 없음/표기불일치"
"미진축산(소진공 연체없음 )","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"미진축산(혁신성장 스마트기기)(월세2천1백 체납)","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"백발명가 법인 카페","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"보성무역(민용기컨설턴트)","1","구조혁신&사업전환","시작 전","기업목록에 없음/표기불일치"
"부에노63","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"비티버거앤타코(희성디자인)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"샤인디앤피","1","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"샤인디앤피 (장애인기업확인서 있음)","1","소상공인시장진흥공단","자금집행완료","이름에 메모 섞임"
"성원상사 ( 3월3일 신청, 3월19일 상환일/  4월 신청가능 )","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"성원상사_환불","1","신용보증기금","시작 전","밑줄(_) 메모"
"성원상사_환불→진행의사 확인중","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"세인트복싱 수지점","1","소상공인시장진흥공단","완료","기업목록에 없음/표기불일치"
"세인트복싱(혁신성장, 스마트기기)(체납)","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"세인트복싱매출신장 보류 스마트기기 2/2 재도전","1","소상공인시장진흥공단","상담/진단완료","구분자(- /) 뒤 메모"
"솜씨협동조합 ( 대기, 대표자와 근로자 수 소통중 )","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"솜씨협동조합_공고링크 받아야함","1","중소벤처기업진흥공단","부결","밑줄(_) 메모"
"솜씨협동조합_인증 부분만 유선","1","중소벤처기업진흥공단","부결","밑줄(_) 메모"
"수목원파크 ( 지들이 하겠다고 통보 )","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"스마일 베이글 ( 법인 사업자 ) 5월","1","중소벤처기업진흥공단","보류","기업목록에 없음/표기불일치"
"스마일 베이글 ( 신규 이력없음 )","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"스투디오오도씨","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"스투디오오도씨 ( 채무조정 29이상 불가 )","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"스투디오오도씨_토스 프론트( 미니 키오스크로 활용가능 )","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"스투디오오도씨(혁신성장 스마트기기)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"신강( 전체자료 미회신 )","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"신강(잠수)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"신산축산 ( 개인사업자 )","1","소상공인시장진흥공단","반려","기업목록에 없음/표기불일치"
"신산축산유통","1","구조혁신&사업전환","시작 전","기업목록에 없음/표기불일치"
"신산축산유통 ","1","구조혁신&사업전환","컨설팅 진행중","기업목록에 없음/표기불일치"
"신안","1","신용보증재단","승인","기업목록에 없음/표기불일치"
"신재연","1","중소벤처기업진흥공단","보류","기업목록에 없음/표기불일치"
"썸업팜","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"아이디어스푼 /","1","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"안다미로","1","소상공인시장진흥공단","완료","기업목록에 없음/표기불일치"
"앨엔피클린","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"양돼산맥","1","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"어나더유스_잠수","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"어나더유스( 소진공 연체없음 )","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"어나더유스(2/27지방세/국세 체납없음
)","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"어나더유스(2/27지방세/국세 체납없음 )","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"어나더유스(혁신성장 수출실적)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"어반트랜드(온라인예약관리, 매장멤버십관리시스템)","1","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"어장관리(국세 없음","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"에스에프헤어 _스마트모델 기술보급 ( 스마트미러, 키오스크 )","1","소상공인시장진흥공단","완료","밑줄(_) 메모"
"에스에프헤어 (재도전 임대사업자 및 업력때문에 안됌)","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"에스에프헤어(혁신성장 스마트기기)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"에이치제이에프1(주)","1","구조혁신&사업전환","시작 전","법인 표기 차이((주)/주)…)"
"엘에스에너지 ( 사업자명 변경되어 사업자등록증 회신받으면 변경 필요 )","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"엘포테크_추가 기대출은 부담된다고 하여 중단","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"엘포테크/ 재도전 도약, 혁신 졸업후보 안됌","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"엠앤디코리아","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"오이구컴퍼니 ( 신규 이력없음 )","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"오이구컴퍼니 ( 정책자금보다 정부지원금 요구ㅠ )","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"오이구컴퍼니(3/5국세체납없음,과태료3건 체납, 1건 미납)","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"오이구컴퍼니\","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"오케이포케 ( 신규 이력없음 )","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"오케이포케(혁신성장 스마트기기)(체납)","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"오투에코","1","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"오투에코(임영군)","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"오투에코(임영군) 공고 나오면 요청예정","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"옥림","1","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"옥림( 26.1직전 월 부터3일이내 단기연체 존재 )","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"요가람","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"요가람 잠수","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"요가람(인증서만료8월18일)(잠수)","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"위드컴퍼니(주)","1","소상공인시장진흥공단","시작 전","법인 표기 차이((주)/주)…)"
"유성기계_사이드보기 별첨","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"유일목형 N844(수출로 안되면 저신용)(3/5국세/지방세체납없음)","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"응암식당(3/5국세체납없음,지방세미납-신청후안내할예정)","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
