"원래이름(기관케이스)","케이스수","판정","유사후보(companies)","유사도%","기관목록","상태목록"
"345","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"(주)123에프앤비","1","신규/불명","","","신용보증재단","자금집행완료"
"(주)123에프앤비(스마트기기 자료 재요청중)","1","신규/불명","","","소상공인시장진흥공단","반려"
"(주)길온물류(동안주유소)_내용동일","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"(주)솔스킨 ( 보성무역 대표님 법인 사업장","1","신규/불명","","","소상공인시장진흥공단","보류"
"(주)우정","1","신규/불명","","","신용보증기금","시작 전"
"(주)우정에프엔비","1","유사후보 있음(확인필요)","(주)허브에프엔비(등짝)","60","구조혁신&사업전환","시작 전"
"(주)준푸드__인증 부분만 유선","1","신규/불명","","","중소벤처기업진흥공단","부결"
"(주)티케이이앤엠","1","유사후보 있음(확인필요)","(주)티케이앤앰","67","신용보증재단","자금집행완료"
"(주)플러스제주","1","유사후보 있음(확인필요)","(주)플러스","67","구조혁신&사업전환","시작 전"
"04/21 (주)엠씨리컴퍼니_강의이수","1","유사후보 있음(확인필요)","(주)엠씨리컴퍼니","71","소상공인시장진흥공단","시작 전"
"04/21 (주)이루미기획_강의이수","1","유사후보 있음(확인필요)","(주)이루미기획","67","소상공인시장진흥공단","부결"
"4/20 뚱이농산","1","유사후보 있음(확인필요)","뚱이농산","67","소상공인시장진흥공단","부결"
"4/20 신강 ( 진행전 유선확인→2.20 통화됌 잘받아주신다고함)","1","신규/불명","","","소상공인시장진흥공단","보류"
"4/20 유일목형 N844( 신용점수 초과로 신청못함 )","1","신규/불명","","","소상공인시장진흥공단","부결"
"4/21 cu진부라헬점","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"4/21 응암식당","1","유사후보 있음(확인필요)","응암식당","67","소상공인시장진흥공단","부결"
"4/21 진수네간장게장( 체납으로 부결되면 )","1","유사후보 있음(확인필요)","진수네간장게장","80","소상공인시장진흥공단","부결"
"4/21 프라이빗","1","유사후보 있음(확인필요)","프라이빗","67","소상공인시장진흥공단","부결"
"4/21 하은운송","1","유사후보 있음(확인필요)","하은운송","67","소상공인시장진흥공단","시작 전"
"4/21지원중기","1","신규/불명","","","소상공인시장진흥공단","부결"
"cjh687768+","1","신규/불명","","","구조혁신&사업전환","시작 전"
"cu수서나산점","1","유사후보 있음(확인필요)","CU수서나선점","67","신용보증재단","완료"
"GS25뉴소사벌타운점_서동일","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"가마치통닭지행점(2.27국세체납없음) / 폐업이력 없음 저신용 25.4 3천","1","유사후보 있음(확인필요)","가마치통닭","73","소상공인시장진흥공단","시작 전"
"가마치통닭지행점/ 폐업이력 없음 저신용 25.4 3천","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"골드스카이 ( 카드연체중 단기연체정보등록됌 )","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"골드스카이_단기연체 등록 ( 회복 어렵다고함 )","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"구도로통닭 부채비율700% 초과","1","신규/불명","","","소상공인시장진흥공단","자금집행완료"
"구도로통닭 부채비율700% 초과_비협조","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"구도로통닭 부채비율700% 초과(3/5국세/지방세 체납없음","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"다경바이오 / 교육 이수 후 접수 완료","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"도원반점수원영통점_2025년 가결산 대기중","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"동안주유소","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"로컬 ( 폐업관련 자료 홈택스 신청1.14 11시04분 )","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"명성태권도(2/27지방세/국세체납없음)/ 재도전 업력초과","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"명인설렁탕송도센트럴지점","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"명인설렁탕송도센트럴지점/환불 예정","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"미드나잇","1","유사후보 있음(확인필요)","미드나잇플레져","67","기타","시작 전"
"백발명가 법인 카페","1","유사후보 있음(확인필요)","(주)백발명가","60","소상공인시장진흥공단","시작 전"
"부에노63","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"샤인디앤피","1","신규/불명","","","소상공인시장진흥공단","부결"
"샤인디앤피 (장애인기업확인서 있음)","1","신규/불명","","","소상공인시장진흥공단","자금집행완료"
"성원상사 ( 3월3일 신청, 3월19일 상환일/  4월 신청가능 )","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"성원상사_환불","1","신규/불명","","","신용보증기금","시작 전"
"성원상사_환불→진행의사 확인중","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"세인트복싱 수지점","1","유사후보 있음(확인필요)","세인트복싱_수지점","73","소상공인시장진흥공단","완료"
"세인트복싱(혁신성장, 스마트기기)(체납)","1","후보 여러개(모호)","세인트복싱_수지점 | 세인트복싱","100","소상공인시장진흥공단","자금집행완료"
"세인트복싱매출신장 보류 스마트기기 2/2 재도전","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"스마일 베이글 ( 법인 사업자 ) 5월","1","유사후보 있음(확인필요)","스마일 베이글","83","중소벤처기업진흥공단","보류"
"스투디오오도씨","1","유사후보 있음(확인필요)","스튜디오오도씨","67","소상공인시장진흥공단","상담/진단완료"
"스투디오오도씨 ( 채무조정 29이상 불가 )","1","유사후보 있음(확인필요)","스튜디오오도씨","67","소상공인시장진흥공단","시작 전"
"스투디오오도씨_토스 프론트( 미니 키오스크로 활용가능 )","1","유사후보 있음(확인필요)","스튜디오오도씨","67","소상공인시장진흥공단","시작 전"
"스투디오오도씨(혁신성장 스마트기기)","1","유사후보 있음(확인필요)","스튜디오오도씨","67","소상공인시장진흥공단","상담/진단완료"
"신산축산 ( 개인사업자 )","1","신규/불명","","","소상공인시장진흥공단","반려"
"신산축산유통","1","신규/불명","","","구조혁신&사업전환","시작 전"
"신산축산유통 ","1","신규/불명","","","구조혁신&사업전환","컨설팅 진행중"
"신안","1","신규/불명","","","신용보증재단","승인"
"앨엔피클린","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"양돼산맥","1","신규/불명","","","소상공인시장진흥공단","부결"
"어반트랜드(온라인예약관리, 매장멤버십관리시스템)","1","유사후보 있음(확인필요)","어반트랜드대화점","73","소상공인시장진흥공단","부결"
"에이치제이에프1(주)","1","유사후보 있음(확인필요)","(주)에이치제이에프1, 봉이밥","82","구조혁신&사업전환","시작 전"
"엘에스에너지 ( 사업자명 변경되어 사업자등록증 회신받으면 변경 필요 )","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"엘포테크/ 재도전 도약, 혁신 졸업후보 안됌","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"오투에코","1","신규/불명","","","소상공인시장진흥공단","부결"
"오투에코(임영군)","1","신규/불명","","","소상공인시장진흥공단","자금집행완료"
"오투에코(임영군) 공고 나오면 요청예정","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"옥림","1","신규/불명","","","소상공인시장진흥공단","부결"
"옥림( 26.1직전 월 부터3일이내 단기연체 존재 )","1","신규/불명","","","소상공인시장진흥공단","자금집행완료"
"요가람","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"요가람 잠수","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"요가람(인증서만료8월18일)(잠수)","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"유일목형 N844(수출로 안되면 저신용)(3/5국세/지방세체납없음)","1","유사후보 있음(확인필요)","유일목형","60","소상공인시장진흥공단","시작 전"
"이안서가중고등","1","유사후보 있음(확인필요)","이안서가중고등학원","86","중소벤처기업진흥공단","부결"
"주)123에프앤비","1","신규/불명","","","신용보증재단","부결"
"지원중기","1","신규/불명","","","소상공인시장진흥공단","부결"
"지원중기 4월초 다시확인 (연체 8백)","1","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"지환2태양광발전소","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"지환2태양광발전소(올타임커피)(3/5국세지방세체납없음)","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"청용주유소( 동안주유소 내용동일)","1","신규/불명","","","소상공인시장진흥공단","시작 전"
"쿡솜씨협동조합 / 교육 이수 후 접수 완료","1","유사후보 있음(확인필요)","(주)솜씨협동조합","67","소상공인시장진흥공단","상담/진단완료"
"타와이3133","1","유사후보 있음(확인필요)","티와이3133(엘에스에너지)","83","소상공인시장진흥공단","완료"
"타와이3133 (엘에스에너지)","1","유사후보 있음(확인필요)","티와이3133(엘에스에너지)","83","소상공인시장진흥공단","상담/진단완료"
"푸드닥터 채육식당 성수점","1","신규/불명","","","소상공인시장진흥공단","시작 전"
