제안등록명,건수,기존회사명,기존회사id,원본표기들,기관,담당자
어장관리(국세 없음,1,어장관리,d3c63ebb-f25a-4115-8c7a-5b861361bc0b,어장관리(국세 없음,소상공인시장진흥공단,관호
엘포테크_추가 기대출은 부담된다고 하여 중단,1,엘포테크,45fbc2ee-84ee-4d06-84a3-98fc6e3d1e52,엘포테크_추가 기대출은 부담된다고 하여 중단,소상공인시장진흥공단,관호
유성기계_사이드보기 별첨,1,유성기계,e197c5a0-6dc3-47c3-b375-98641b226c5d,유성기계_사이드보기 별첨,소상공인시장진흥공단,관호
"응암식당(3/5국세체납없음,지방세미납-신청후안내할예정)",1,응암식당,b30a3397-4179-4daa-a8af-17b06f9664fa,"응암식당(3/5국세체납없음,지방세미납-신청후안내할예정)",소상공인시장진흥공단,관호
의왕베이스볼아카데미(체납)_비협조,1,의왕베이스볼아카데미,3f9f719a-45f5-4179-ad51-eb56a132109f,의왕베이스볼아카데미(체납)_비협조,소상공인시장진흥공단,관호
제천한약영농조합법인,1,(주)제천한약영농조합법인,bfd05fda-d0de-4810-95f9-4d2c165d510d,제천한약영농조합법인,중소벤처기업진흥공단,동일
주식회사 와이에스푸드 ( 다미설 법인 )_1억조달완료,1,주식회사 와이에스푸드 ( 다미설 법인 ),b6f6a2e1-a8c5-4af3-a2dd-57f34dcf2fbe,주식회사 와이에스푸드 ( 다미설 법인 )_1억조달완료,중소벤처기업진흥공단,유진
티와이3133,1,티와이3133(엘에스에너지),f657cf8c-72bb-459e-ae07-84ed41c659c1,티와이3133,신용보증재단,관호
파이브투_재단 부결 및 저신용 3천 받으심 비협조로 방치중,1,파이브투,debe5159-5447-4b00-88cc-9a1f191371c4,파이브투_재단 부결 및 저신용 3천 받으심 비협조로 방치중,소상공인시장진흥공단,관호
풍짬(3/5국세지방세 체납없음),1,풍짬,18ff6884-d074-489f-84c0-4e630b0ca64b,풍짬(3/5국세지방세 체납없음),소상공인시장진흥공단,관호
"피치플레이_AI 스마트 자판기, S/W",1,피치플레이,cfeeeaad-ddec-4745-b15f-5c19d31c37a5,"피치플레이_AI 스마트 자판기, S/W",소상공인시장진흥공단,관호
하은운송(3/6국세지방세체납없음),1,하은운송,2575f0f5-3859-419a-ad43-94d84c280458,하은운송(3/6국세지방세체납없음),소상공인시장진흥공단,관호
헤움 ( 집중관리기업 3회차 납부 확인후 신청 ),1,헤움,d6a34947-af74-4d78-a48c-43f011e88989,헤움 ( 집중관리기업 3회차 납부 확인후 신청 ),소상공인시장진흥공단,관호
